100 2500
28 31 -8
28 32 1
28 34 8
28 37 -5
28 38 -6
28 40 -1
28 42 -3
28 43 5
28 48 6
28 50 5
28 53 10
28 54 1
28 58 -7
28 59 -5
28 60 10
28 61 -5
28 63 -4
28 64 1
28 67 9
28 69 -10
28 70 7
28 71 2
28 72 2
28 73 8
28 79 -1
28 80 5
28 82 1
28 84 -6
28 85 -5
28 86 5
28 91 7
28 95 9
28 96 -8
28 98 2
29 30 3
29 32 -2
29 33 10
29 38 -1
29 39 6
29 40 -2
29 41 8
29 43 -1
29 45 -1
29 46 -4
29 47 8
29 50 -4
29 53 -2
29 54 7
29 57 8
29 59 9
29 61 -4
29 62 3
29 64 -9
29 67 7
29 68 8
29 69 3
29 70 4
29 72 8
29 75 3
29 77 -8
29 78 -2
29 81 -8
29 82 4
29 84 -8
29 92 3
29 94 -3
29 96 -8
29 97 5
29 99 3
30 31 -2
30 33 -1
30 34 -6
30 36 -2
30 37 1
30 38 3
30 39 -8
30 40 4
30 41 -6
30 42 4
30 44 9
30 48 -2
30 50 -1
30 52 -5
30 55 1
30 57 2
30 58 -7
30 62 7
30 65 4
30 72 -9
30 73 -6
30 79 -4
30 80 8
30 81 8
30 82 1
30 83 1
30 84 3
30 86 2
30 89 1
30 92 5
30 93 -9
30 94 -9
30 96 1
30 98 3
30 99 -1
31 32 -3
31 33 -8
31 36 -3
31 37 -10
31 38 -3
31 41 1
31 43 2
31 44 -10
31 45 -1
31 47 -3
31 48 2
31 51 8
31 52 -9
31 55 -6
31 56 -5
31 57 -9
31 60 -3
31 61 2
31 62 -7
31 64 1
31 66 2
31 67 -10
31 71 -2
31 72 -4
31 77 5
31 79 -10
31 81 -7
31 86 10
31 87 -1
31 88 5
31 90 8
31 91 1
31 97 3
31 99 8
32 33 -1
32 35 2
32 37 7
32 38 -9
32 39 -10
32 40 1
32 46 3
32 48 1
32 49 -3
32 51 9
32 52 5
32 56 -6
32 61 -9
32 62 9
32 63 -7
32 65 10
32 66 -4
32 67 10
32 68 -2
32 69 1
32 75 3
32 76 4
32 79 2
32 80 1
32 82 2
32 84 3
32 87 -7
32 90 -4
32 91 2
32 93 1
32 94 9
32 95 -8
32 97 5
32 99 1
33 34 7
33 35 -5
33 37 -1
33 38 -4
33 39 8
33 44 9
33 45 10
33 47 -1
33 49 10
33 50 1
33 51 -9
33 52 -7
33 54 1
33 55 7
33 56 3
33 58 2
33 60 3
33 61 10
33 63 -6
33 64 -6
33 67 -3
33 71 -2
33 72 2
33 75 -4
33 76 7
33 77 3
33 78 6
33 85 -1
33 90 -2
33 91 -10
33 94 3
33 95 2
33 96 3
34 35 10
34 36 -1
34 37 -5
34 38 -10
34 39 -8
34 42 -7
34 45 -1
34 48 -5
34 50 1
34 51 -6
34 52 4
34 54 5
34 57 -5
34 59 -4
34 61 -3
34 64 9
34 66 -6
34 67 4
34 69 -1
34 70 -9
34 71 8
34 77 3
34 79 7
34 81 2
34 86 8
34 89 1
34 91 -8
34 93 -10
34 94 9
34 95 6
34 96 5
34 98 10
34 99 5
35 36 6
35 40 -9
35 43 3
35 44 -4
35 45 -9
35 47 1
35 49 -5
35 50 4
35 52 7
35 53 4
35 56 -4
35 57 -4
35 59 10
35 60 1
35 61 5
35 63 -1
35 69 -1
35 71 10
35 78 8
35 79 2
35 80 -10
35 81 3
35 84 1
35 85 -7
35 86 -3
35 87 -8
35 92 2
35 93 -9
35 94 10
35 95 4
35 97 5
35 99 3
36 37 2
36 39 8
36 40 -6
36 42 -9
36 43 -1
36 44 -5
36 45 1
36 47 4
36 49 3
36 50 -10
36 52 5
36 56 -10
36 59 -9
36 62 2
36 64 9
36 65 5
36 66 -3
36 68 4
36 70 1
36 73 7
36 74 7
36 75 -7
36 76 -9
36 77 -6
36 80 -8
36 83 -5
36 88 -8
36 90 -1
36 92 6
36 93 -2
36 97 -9
36 98 9
37 38 5
37 41 2
37 42 2
37 43 8
37 44 9
37 45 -10
37 47 1
37 49 1
37 53 5
37 57 8
37 60 3
37 63 -7
37 65 3
37 66 -4
37 69 -4
37 70 -6
37 72 -10
37 73 -10
37 76 -9
37 77 10
37 78 3
37 79 -3
37 80 1
37 81 -10
37 82 4
37 83 4
37 87 3
37 94 2
37 96 -3
37 98 -7
37 99 4
38 39 -4
38 41 1
38 42 8
38 43 7
38 44 -5
38 46 8
38 47 -8
38 48 -10
38 49 -8
38 52 5
38 53 3
38 56 9
38 60 -8
38 62 4
38 64 -10
38 68 -9
38 69 6
38 70 2
38 74 9
38 75 -4
38 79 -2
38 80 -6
38 82 8
38 86 -4
38 88 -2
38 89 1
38 90 1
38 91 3
38 96 4
38 97 -5
38 99 -6
39 40 8
39 41 -3
39 42 -2
39 44 6
39 45 8
39 46 7
39 48 -3
39 49 10
39 52 6
39 56 -10
39 58 3
39 59 3
39 61 -9
39 62 -1
39 63 -5
39 65 9
39 66 6
39 74 1
39 75 2
39 79 9
39 82 -6
39 83 -2
39 87 -3
39 88 -4
39 90 -10
39 92 -5
39 93 5
39 97 7
39 98 -5
39 99 9
40 41 -6
40 42 9
40 43 -9
40 44 4
40 46 -2
40 48 -10
40 53 -6
40 55 2
40 56 10
40 57 10
40 58 10
40 60 -3
40 67 -4
40 71 -9
40 72 -5
40 73 9
40 74 8
40 75 -7
40 76 9
40 77 2
40 78 7
40 82 4
40 84 9
40 85 10
40 87 9
40 90 7
40 91 5
40 93 -9
40 96 3
40 97 5
41 42 -9
41 46 -8
41 51 9
41 53 -1
41 54 1
41 55 -7
41 57 -9
41 58 -8
41 61 3
41 65 2
41 68 1
41 69 9
41 71 -7
41 72 -6
41 74 10
41 75 6
41 79 10
41 80 -10
41 82 4
41 83 10
41 84 -3
41 85 3
41 86 4
41 88 9
41 91 -2
41 92 8
41 96 3
41 98 6
41 99 5
42 43 -7
42 44 2
42 45 1
42 46 -1
42 47 7
42 53 6
42 55 1
42 56 -2
42 59 1
42 60 -2
42 63 9
42 65 7
42 67 10
42 68 -4
42 70 -3
42 74 -6
42 76 10
42 77 4
42 78 -7
42 79 -2
42 82 1
42 83 -2
42 84 1
42 89 -8
42 90 -10
42 91 6
42 92 1
42 95 -4
42 98 -8
43 44 1
43 46 6
43 48 -10
43 52 -9
43 56 -5
43 60 2
43 61 6
43 64 3
43 65 7
43 67 4
43 69 -1
43 70 -2
43 74 -9
43 75 2
43 77 9
43 78 -3
43 80 -3
43 84 4
43 86 -5
43 88 3
43 89 -8
43 90 6
43 91 5
43 92 10
43 93 1
43 94 -8
43 96 -6
43 97 1
44 45 2
44 46 8
44 47 10
44 48 -3
44 49 -5
44 56 -2
44 58 9
44 59 2
44 62 4
44 63 -4
44 66 9
44 67 -3
44 68 -5
44 70 -5
44 72 2
44 75 6
44 76 10
44 77 -5
44 79 8
44 81 -1
44 82 -9
44 87 -7
44 89 1
44 93 -7
44 94 6
44 96 8
44 97 -10
44 98 1
45 46 -9
45 47 -8
45 50 -5
45 53 6
45 54 8
45 57 -9
45 58 -2
45 59 5
45 61 -4
45 63 -8
45 66 1
45 68 -9
45 69 9
45 71 -3
45 72 2
45 74 -2
45 76 7
45 78 -4
45 79 1
45 80 -9
45 82 3
45 84 7
45 87 5
45 93 5
45 94 -6
45 95 -5
45 96 10
46 47 7
46 48 -8
46 50 1
46 53 1
46 54 3
46 55 8
46 57 -10
46 58 -10
46 59 4
46 64 1
46 71 -2
46 73 9
46 74 -2
46 75 7
46 77 3
46 78 5
46 82 6
46 83 1
46 85 -4
46 86 -8
46 87 -8
46 89 -2
46 91 -8
46 92 2
46 95 1
46 96 9
46 99 8
47 48 4
47 50 7
47 53 1
47 57 -5
47 58 1
47 59 9
47 60 -4
47 61 6
47 64 -2
47 65 -10
47 68 -1
47 70 -3
47 71 -8
47 75 -6
47 78 9
47 79 1
47 82 -8
47 84 10
47 85 6
47 86 1
47 87 -9
47 90 3
47 91 -5
47 93 -8
47 94 -10
47 96 6
48 49 -9
48 53 1
48 55 10
48 59 1
48 60 7
48 63 -7
48 66 -10
48 67 10
48 68 4
48 70 1
48 71 10
48 72 10
48 73 1
48 74 8
48 75 -6
48 77 2
48 79 -9
48 81 7
48 86 -9
48 88 6
48 89 5
48 90 -10
48 91 -8
48 92 9
48 93 10
48 95 8
49 50 -2
49 51 6
49 55 10
49 58 -10
49 59 6
49 66 -8
49 67 -3
49 68 -10
49 69 -8
49 72 -5
49 75 -6
49 76 6
49 77 5
49 80 1
49 81 -8
49 82 -2
49 85 -5
49 87 2
49 90 -1
49 91 7
49 93 -2
49 94 -9
49 95 -2
49 98 -8
49 99 -6
50 51 10
50 52 -1
50 54 -6
50 59 -10
50 60 9
50 61 -7
50 62 6
50 63 -8
50 64 -2
50 65 3
50 72 -4
50 74 -8
50 75 3
50 77 8
50 78 5
50 79 -10
50 84 5
50 85 10
50 86 -10
50 87 4
50 88 1
50 89 -10
50 95 5
50 96 9
50 98 -6
51 52 5
51 54 10
51 56 -4
51 60 8
51 62 -10
51 63 5
51 65 -7
51 66 -3
51 69 1
51 71 -10
51 72 2
51 75 -8
51 77 4
51 79 -10
51 80 -10
51 81 8
51 87 -9
51 89 6
51 90 -4
51 91 1
51 92 -10
51 93 7
51 98 2
51 99 10
52 53 -4
52 54 1
52 57 1
52 58 -10
52 61 7
52 62 10
52 63 7
52 64 -3
52 66 9
52 67 -7
52 71 -5
52 75 2
52 78 -7
52 80 4
52 81 -8
52 85 -3
52 86 4
52 87 1
52 88 3
52 89 -3
52 93 -7
52 95 6
52 96 2
52 98 3
53 54 5
53 55 -10
53 56 -1
53 57 6
53 58 -1
53 59 -5
53 69 -7
53 70 -2
53 72 -4
53 73 -6
53 74 -8
53 75 1
53 81 7
53 82 3
53 83 -9
53 86 6
53 87 5
53 89 1
53 91 -1
53 92 -7
53 93 2
53 94 7
53 99 -4
54 55 6
54 56 -6
54 62 1
54 63 1
54 64 -4
54 67 1
54 68 -5
54 69 9
54 70 8
54 72 4
54 73 8
54 74 1
54 78 -6
54 79 4
54 80 5
54 85 -5
54 86 7
54 92 9
54 94 -6
54 95 7
54 96 9
54 97 -9
54 98 9
55 56 8
55 62 -7
55 63 -7
55 64 -9
55 66 -4
55 67 4
55 68 -10
55 70 4
55 73 5
55 74 9
55 75 8
55 76 4
55 77 1
55 79 5
55 80 1
55 81 6
55 87 7
55 90 1
55 91 -1
55 92 -8
55 95 7
55 97 -1
56 57 4
56 58 -10
56 59 10
56 64 -5
56 66 -7
56 67 -1
56 68 2
56 69 -1
56 72 3
56 73 -8
56 75 8
56 77 10
56 80 3
56 82 -8
56 83 -4
56 84 9
56 85 -9
56 87 -2
56 88 -1
56 90 7
56 95 8
56 96 -7
57 58 1
57 59 -5
57 64 -6
57 65 4
57 70 -5
57 72 2
57 73 -4
57 74 9
57 79 -6
57 81 -2
57 82 -5
57 84 -3
57 85 -2
57 86 8
57 88 2
57 90 -1
57 92 -6
57 94 10
57 95 4
57 98 1
57 99 -9
58 59 3
58 63 -4
58 64 -10
58 65 1
58 66 -7
58 67 5
58 68 8
58 69 -7
58 74 -3
58 75 -6
58 78 5
58 79 -7
58 83 -4
58 85 2
58 86 -9
58 88 -3
58 89 -1
58 90 10
58 91 -7
58 95 8
58 97 4
59 60 -3
59 63 8
59 66 -8
59 69 5
59 72 3
59 74 9
59 75 -9
59 77 -4
59 79 5
59 80 -2
59 81 7
59 82 -2
59 84 -10
59 90 8
59 91 5
59 94 2
59 95 -4
59 97 1
59 98 -3
59 99 -5
60 61 4
60 62 -6
60 63 -4
60 64 -1
60 65 5
60 67 10
60 77 -2
60 78 -1
60 79 -3
60 81 10
60 83 9
60 84 -9
60 87 -2
60 90 2
60 91 -5
60 92 -6
60 93 2
60 94 -6
60 95 5
60 98 8
61 62 1
61 64 9
61 67 8
61 69 9
61 72 1
61 74 -3
61 75 6
61 76 -5
61 79 1
61 81 1
61 82 -8
61 86 3
61 88 7
61 91 -3
61 92 6
61 93 1
61 94 1
61 98 7
61 99 5
62 63 6
62 64 7
62 65 5
62 73 -8
62 75 4
62 76 -3
62 77 3
62 78 1
62 80 6
62 82 -8
62 83 1
62 84 -1
62 89 1
62 92 9
62 93 1
62 94 -8
62 96 1
62 97 9
62 99 7
63 64 3
63 65 8
